mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
663.00,8677504,223.072427,223.072430,0.004,0.017,C10 H11 N2 O4  ,10,11,2,4,0,
-1000.00,14078102,223.097598,223.097583,-0.016,-0.071,C12 H15 O4     ,12,15,0,4,0,
-1000.00,6220960,223.108843,223.108816,-0.027,-0.122,C11 H15 N2 O3  ,11,15,2,3,0,
338.29,3115190,223.134000,223.133968,-0.032,-0.141,C13 H19 O3     ,13,19,0,3,0,
529.91,3673534,224.020087,224.020060,-0.026,-0.118,C9 H6 N O6     ,9,6,1,6,0,
828.96,3904463,224.038580,224.038688,0.108,0.482,C10 H10 N O3 S ,10,10,1,3,1,
46.74,15932382,224.056443,224.056446,0.003,0.012,C10 H10 N O5   ,10,10,1,5,0,
9.02,24542206,224.092812,224.092832,0.019,0.087,C11 H14 N O4   ,11,14,1,4,0,
335.72,2937374,224.129150,224.129217,0.067,0.297,C12 H18 N O3   ,12,18,1,3,0,
-1000.00,4402991,225.022713,225.022703,-0.010,-0.044,C10 H9 O4 S    ,10,9,0,4,1,
-1000.00,9885503,225.040462,225.040462,0.000,0.000,C10 H9 O6      ,10,9,0,6,0,
686.64,8869705,225.051713,225.051695,-0.018,-0.080,C9 H9 N2 O5    ,9,9,2,5,0,
-1000.00,20172638,225.076873,225.076847,-0.026,-0.115,C11 H13 O5     ,11,13,0,5,0,
684.74,10180457,225.088095,225.088080,-0.015,-0.065,C10 H13 N2 O4  ,10,13,2,4,0,
7.12,17112958,225.113239,225.113233,-0.006,-0.028,C12 H17 O4     ,12,17,0,4,0,
353.81,3089311,225.149573,225.149618,0.045,0.201,C13 H21 O3     ,13,21,0,3,0,
-1000.00,2390149,225.992896,225.992800,-0.096,-0.425,C7 H4 N3 O4 S  ,7,4,3,4,1,
-1000.00,4145820,226.017921,226.017952,0.031,0.139,C9 H8 N O4 S   ,9,8,1,4,1,
558.01,9833131,226.035698,226.035711,0.012,0.055,C9 H8 N O6     ,9,8,1,6,0,
73.81,20366028,226.072088,226.072096,0.008,0.037,C10 H12 N O5   ,10,12,1,5,0,
109.71,8696555,226.108499,226.108482,-0.017,-0.076,C11 H16 N O4   ,11,16,1,4,0,
-1000.00,2394220,226.253856,226.254024,0.167,0.739,C15 H32 N      ,15,32,1,0,0,
-1000.00,5204480,227.001983,227.001968,-0.015,-0.065,C9 H7 O5 S     ,9,7,0,5,1,
274.34,15017504,227.038343,227.038353,0.011,0.047,C10 H11 O4 S   ,10,11,0,4,1,
12.77,26068528,227.056128,227.056112,-0.017,-0.073,C10 H11 O6     ,10,11,0,6,0,
764.66,4364858,227.067391,227.067345,-0.046,-0.201,C9 H11 N2 O5   ,9,11,2,5,0,
7.00,28468816,227.092484,227.092497,0.013,0.057,C11 H15 O5     ,11,15,0,5,0,
709.28,4205146,227.103724,227.103731,0.007,0.030,C10 H15 N2 O4  ,10,15,2,4,0,
44.44,12508784,227.128894,227.128883,-0.011,-0.049,C12 H19 O4     ,12,19,0,4,0,
707.18,2103181,228.029525,228.029580,0.055,0.239,C4 H10 N3 O6 S ,4,10,3,6,1,
391.65,9861521,228.033634,228.033602,-0.032,-0.140,C9 H10 N O4 S  ,9,10,1,4,1,
532.78,9982368,228.051370,228.051361,-0.010,-0.042,C9 H10 N O6    ,9,10,1,6,0,
709.78,6078897,228.069987,228.069988,0.001,0.005,C10 H14 N O3 S ,10,14,1,3,1,
98.53,9646529,228.087759,228.087746,-0.013,-0.057,C10 H14 N O5   ,10,14,1,5,0,
698.40,2109134,228.102896,228.103002,0.106,0.464,C14 H14 N O2   ,14,14,1,2,0,
519.71,2093537,228.124095,228.124132,0.037,0.161,C11 H18 N O4   ,11,18,1,4,0,
27.88,27282680,229.017627,229.017618,-0.009,-0.038,C9 H9 O5 S     ,9,9,0,5,1,
