mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
55.34,9191716,235.097590,235.097583,-0.007,-0.031,C13 H15 O4     ,13,15,0,4,0,
554.64,2838823,235.100944,235.100954,0.009,0.039,C10 H19 O4 S   ,10,19,0,4,1,
-1000.00,4315461,235.133959,235.133968,0.009,0.036,C14 H19 O3     ,14,19,0,3,0,
361.83,5422223,236.056442,236.056446,0.004,0.018,C11 H10 N O5   ,11,10,1,5,0,
294.81,4538544,236.092817,236.092832,0.015,0.063,C12 H14 N O4   ,12,14,1,4,0,
522.63,2760371,236.096334,236.096203,-0.132,-0.558,C9 H18 N O4 S  ,9,18,1,4,1,
-1000.00,3727343,237.004102,237.004076,-0.025,-0.108,C10 H5 O7      ,10,5,0,7,0,
595.70,5390355,237.043847,237.043833,-0.014,-0.058,C8 H13 O6 S    ,8,13,0,6,1,
754.45,3250202,237.051751,237.051695,-0.056,-0.237,C10 H9 N2 O5   ,10,9,2,5,0,
702.06,2169644,237.071197,237.070974,-0.223,-0.940,C19 H9         ,19,9,0,0,0,
6.14,23969842,237.076839,237.076847,0.008,0.035,C12 H13 O5     ,12,13,0,5,0,
672.37,2946101,237.080282,237.080218,-0.064,-0.269,C9 H17 O5 S    ,9,17,0,5,1,
768.94,3147836,237.088052,237.088080,0.028,0.119,C11 H13 N2 O4  ,11,13,2,4,0,
31.26,10989650,237.113264,237.113233,-0.032,-0.134,C13 H17 O4     ,13,17,0,4,0,
-1000.00,3669108,237.149695,237.149618,-0.077,-0.326,C14 H21 O3     ,14,21,0,3,0,
620.74,2715532,238.017932,238.017952,0.020,0.086,C10 H8 N O4 S  ,10,8,1,4,1,
581.18,5225372,238.035774,238.035711,-0.064,-0.267,C10 H8 N O6    ,10,8,1,6,0,
195.57,11422653,238.072120,238.072096,-0.024,-0.102,C11 H12 N O5   ,11,12,1,5,0,
-1000.00,3318239,238.108493,238.108482,-0.012,-0.050,C12 H16 N O4   ,12,16,1,4,0,
52.44,11433741,239.001985,239.001968,-0.017,-0.070,C10 H7 O5 S    ,10,7,0,5,1,
-1000.00,6767390,239.019752,239.019726,-0.025,-0.107,C10 H7 O7      ,10,7,0,7,0,
427.74,2461484,239.035073,239.034982,-0.091,-0.379,C14 H7 O4      ,14,7,0,4,0,
561.32,8724271,239.038359,239.038353,-0.005,-0.022,C11 H11 O4 S   ,11,11,0,4,1,
9.05,22271806,239.056104,239.056112,0.007,0.031,C11 H11 O6     ,11,11,0,6,0,
750.26,4192066,239.059481,239.059483,0.002,0.008,C8 H15 O6 S    ,8,15,0,6,1,
743.27,6892361,239.067358,239.067345,-0.013,-0.055,C10 H11 N2 O5  ,10,11,2,5,0,
6.34,26609504,239.092510,239.092497,-0.013,-0.055,C12 H15 O5     ,12,15,0,5,0,
12.42,16172929,239.128921,239.128883,-0.038,-0.158,C13 H19 O4     ,13,19,0,4,0,
-1000.00,2199439,239.143934,239.144139,0.204,0.855,C17 H19 O      ,17,19,0,1,0,
-1000.00,3160217,239.997261,239.997217,-0.044,-0.183,C9 H6 N O5 S   ,9,6,1,5,1,
666.71,3048122,240.033555,240.033602,0.048,0.199,C10 H10 N O4 S ,10,10,1,4,1,
597.87,17005258,240.051384,240.051361,-0.024,-0.098,C10 H10 N O6   ,10,10,1,6,0,
346.45,8387308,240.087784,240.087746,-0.038,-0.157,C11 H14 N O5   ,11,14,1,5,0,
-1000.00,2148598,240.098959,240.098980,0.021,0.086,C10 H14 N3 O4  ,10,14,3,4,0,
26.52,22404668,241.017614,241.017618,0.004,0.018,C10 H9 O5 S    ,10,9,0,5,1,
-1000.00,10405451,241.035334,241.035376,0.042,0.175,C10 H9 O7      ,10,9,0,7,0,
766.54,2992726,241.046641,241.046610,-0.031,-0.129,C9 H9 N2 O6    ,9,9,2,6,0,
389.40,3850841,241.050619,241.050632,0.014,0.057,C14 H9 O4      ,14,9,0,4,0,
408.00,35475036,241.054004,241.054003,-0.000,-0.001,C11 H13 O4 S   ,11,13,0,4,1,
8.46,37678700,241.071775,241.071762,-0.013,-0.054,C11 H13 O6     ,11,13,0,6,0,
780.01,3907191,241.083042,241.082995,-0.047,-0.194,C10 H13 N2 O5  ,10,13,2,5,0,
7.74,34410124,241.108182,241.108147,-0.035,-0.144,C12 H17 O5     ,12,17,0,5,0,
